分類,職務名稱,月薪中位數 (萬元),職缺數
貿易類人員,國貿人員,5.0,4509
貿易類人員,採購專員,4.3,1674
貿易類人員,空運／船務／報關人員,4.6,1718
運輸物流人員,倉儲人員,3.6,3763
運輸物流人員,其他運輸人員,3.7,104
運輸物流人員,堆高機操作員,4.0,964
運輸物流人員,外送司機,4.1,1482
運輸物流人員,大客車司機,4.4,268
運輸物流人員,小客車司機,3.8,257
運輸物流人員,快遞人員,3.5,750
運輸物流人員,物流人員,3.6,5402
運輸物流人員,貨車司機,4.3,4090
運輸物流人員,運輸人員,3.7,2562
運輸物流人員,運輸助理,3.4,1303
醫學研究與技術人員,其他醫學研究人員,5.7,64
醫學研究與技術人員,臨床研究人員,5.5,150
醫學研究與技術人員,臨床試驗人員,6.1,185
醫學研究與技術人員,藥品研發人員,6.6,102
醫學研究與技術人員,醫學研究人員,6.3,122
醫學研究與技術人員,醫療設備工程師,5.4,337
醫療保健服務人員,健檢人員,3.7,234
醫療保健服務人員,其他醫療保健服務人員,3.6,162
醫療保健服務人員,導診人員,3.5,116
醫療保健服務人員,掛號人員,3.5,189
醫療保健服務人員,接待員,3.5,512
醫療保健服務人員,救護技術員,4.0,105
醫療保健服務人員,病歷管理人員,3.5,159
醫療保健服務人員,看護,3.6,952
醫療器材研發與銷售人員,醫療器材品管人員,5.2,104
醫療器材研發與銷售人員,醫療器材工程師,6.1,470
醫療器材研發與銷售人員,醫療器材業務人員,6.3,649
醫療器材研發與銷售人員,醫療器材研發人員,6.8,172
醫療器材研發與銷售人員,醫療器材維修人員,5.5,138
醫療專業人員,其他醫療人員,4.4,206
醫療專業人員,放射師,4.6,332
醫療專業人員,牙體技術師,4.0,73
醫療專業人員,物理治療師,4.6,377
醫療專業人員,臨床護理師,4.6,1509
醫療專業人員,藥師,4.8,786
醫療專業人員,護士,4.5,2201
醫療技術輔助人員,其他醫療技術輔助人員,3.5,181
醫療技術輔助人員,復健助理,3.5,263
醫療技術輔助人員,照顧服務員,3.6,3812
醫療技術輔助人員,牙醫助理,3.5,759
醫療技術輔助人員,藥師助理,3.5,297
醫療技術輔助人員,護理助理,3.6,2204
醫療技術輔助人員,醫事放射師助理,3.5,115
醫療護理人員,其他護理人員,4.5,306
醫療護理人員,照顧服務員,2.9,2778
醫療護理人員,護理人員,4.5,6432
醫療護理人員,護理師,5.3,25333
醫療護理人員,陪病人員,2.8,602
醫療輔助人員,助產士,4.5,234
醫療輔助人員,牙醫助理,3.3,2524
醫療輔助人員,病歷管理員,4.1,167
醫療輔助人員,看護／護佐,2.9,1558
醫療輔助人員,診所助理,3.4,1051
醫療輔助人員,醫療行政人員,4.0,1347
醫療輔助人員,驗光師,3.7,261
醫療／保健服務人員,其他醫療專業人員,4.6,706
醫療／保健服務人員,助產士,5.0,234
醫療／保健服務人員,呼吸治療師,5.2,484
醫療／保健服務人員,放射師,6.3,1415
醫療／保健服務人員,營養師,4.3,1964
醫療／保健服務人員,物理治療師,5.1,1127
醫療／保健服務人員,獸醫,6.2,221
醫療／保健服務人員,看護人員,2.9,591
醫療／保健服務人員,職能治療師,5.0,519
醫療／保健服務人員,臨床醫事檢驗師,6.3,1252
醫療／保健服務人員,藥劑生,3.6,455
醫療／保健服務人員,藥師,5.5,3987
醫療／保健服務人員,語言治療師,4.6,530
醫療／保健服務人員,醫檢助理,3.1,252
醫療／保健服務人員,醫療助理,3.4,3905
醫美／美容／保健服務人員,SPA芳療師,3.5,160
醫美／美容／保健服務人員,健身教練,4.5,1346
醫美／美容／保健服務人員,其他健康美容相關,4.0,728
醫美／美容／保健服務人員,按摩師,3.7,179
醫美／美容／保健服務人員,營養諮詢師,4.1,208
醫美／美容／保健服務人員,瑜伽／舞蹈老師,4.2,381
醫美／美容／保健服務人員,美容師,3.5,472
醫美／美容／保健服務人員,美療師,3.6,629
醫美／美容／保健服務人員,芳療師,3.6,350
醫美／美容／保健服務人員,醫美／整形師,4.8,145
醫藥製造相關人員,品保／品管工程師,5.2,1336
醫藥製造相關人員,生技工程師,5.0,538
醫藥製造相關人員,生產技術人員,4.7,1382
醫藥製造相關人員,製劑人員,4.6,364
醫藥製造相關人員,製程工程師,5.6,2524
醫藥製造相關人員,製藥工程師,5.1,540
醫藥製造相關人員,醫藥品包裝人員,3.8,185
金融專業相關人員,不動產估價師,5.4,184
金融專業相關人員,保險主管,7.2,101
金融專業相關人員,保險業務／經紀人,5.1,1881
金融專業相關人員,催收人員,4.9,160
金融專業相關人員,勞資後線人員,4.4,560
金融專業相關人員,投信人員,5.0,285
金融專業相關人員,投資經理人,9.3,247
金融專業相關人員,核保／保險內勤人員,4.7,863
金融專業相關人員,理財專員,6.2,2186
金融專業相關人員,理賠人員,4.6,404
金融專業相關人員,統計精算人員,6.9,322
金融專業相關人員,融資／信用業務人員,6.0,1509
金融專業相關人員,證券業務員,5.0,222
金融專業相關人員,金融主管,9.3,491
金融專業相關人員,金融交易員,6.1,505
