職業類別,大類名稱
醫美∕整形師,醫療保健及社會工作服務業
品保∕品管工程師,製造業
生技工程師,製造業
生產技術人員,製造業
製劑人員,製造業
製藥工程師,製造業
醫藥品包裝人員,製造業
不動產估價師,不動產業
保險主管,金融及保險業
保險業務∕經紀人,金融及保險業
催收人員,支援服務業
勞資後線人員,支援服務業
投信人員,金融及保險業
投資經理人,金融及保險業
核保∕保險內勤人員,金融及保險業
理財專員,金融及保險業
理賠人員,金融及保險業
統計精算人員,金融及保險業
融資∕信用業務人員,金融及保險業
證券業務員,金融及保險業
金融主管,金融及保險業
金融交易員,金融及保險業
金融承銷員,金融及保險業
金融業務員,金融及保險業
金融研究員,金融及保險業
銀行辦事員,金融及保險業
風險管理人員,金融及保險業
儲備∕幹部人員,批發及零售業
店長∕賣場管理人員,批發及零售業
營化人員,批發及零售業
連鎖店管理人員,批發及零售業
門市∕店員∕專櫃人員,批發及零售業
中央廚房主管,住宿及餐飲業
中央廚房管理人員,住宿及餐飲業
其他飯店餐廳管理人員,住宿及餐飲業
餐廳∕飯店主管,住宿及餐飲業
餐飲主任∕領班,住宿及餐飲業
中餐廚師,住宿及餐飲業
內場廚務人員,住宿及餐飲業
其他餐飲服務人員,住宿及餐飲業
外場服務人員,住宿及餐飲業
外送人員,運輸及倉儲業
廚師,餐飲業
日式料理廚師,住宿及餐飲業
洗碗清潔人員,住宿及餐飲業
西餐廚師,住宿及餐飲業
西點烘焙師傅,住宿及餐飲業
飲料調製人員,住宿及餐飲業
其他服務人員,其他服務業
廚務助理,住宿及餐飲業
洗碗人員,住宿及餐飲業
美甲師,其他服務業
美髮師,其他服務業
芳療∕紓壓師,其他服務業
