縣市,年度,項目,年薪資
彰化縣,2020,女性中位數年薪,387000
彰化縣,2021,女性中位數年薪,399000
彰化縣,2022,女性中位數年薪,408000
彰化縣,2023,女性中位數年薪,419000
南投縣,2020,女性中位數年薪,424000
南投縣,2021,女性中位數年薪,429000
南投縣,2022,女性中位數年薪,444000
南投縣,2023,女性中位數年薪,451000
雲林縣,2020,女性中位數年薪,420000
雲林縣,2021,女性中位數年薪,423000
雲林縣,2022,女性中位數年薪,433000
雲林縣,2023,女性中位數年薪,446000
嘉義縣,2020,女性中位數年薪,410000
嘉義縣,2021,女性中位數年薪,416000
嘉義縣,2022,女性中位數年薪,427000
嘉義縣,2023,女性中位數年薪,443000
屏東縣,2020,女性中位數年薪,401000
屏東縣,2021,女性中位數年薪,410000
屏東縣,2022,女性中位數年薪,425000
屏東縣,2023,女性中位數年薪,440000
臺東縣,2020,女性中位數年薪,419000
臺東縣,2021,女性中位數年薪,424000
臺東縣,2022,女性中位數年薪,445000
臺東縣,2023,女性中位數年薪,459000
花蓮縣,2020,女性中位數年薪,436000
花蓮縣,2021,女性中位數年薪,444000
花蓮縣,2022,女性中位數年薪,459000
花蓮縣,2023,女性中位數年薪,478000
澎湖縣,2020,女性中位數年薪,416000
澎湖縣,2021,女性中位數年薪,416000
澎湖縣,2022,女性中位數年薪,433000
澎湖縣,2023,女性中位數年薪,453000
基隆市,2020,女性中位數年薪,462000
基隆市,2021,女性中位數年薪,473000
基隆市,2022,女性中位數年薪,480000
基隆市,2023,女性中位數年薪,491000
新竹市,2020,女性中位數年薪,635000
新竹市,2021,女性中位數年薪,656000
新竹市,2022,女性中位數年薪,666000
新竹市,2023,女性中位數年薪,670000
嘉義市,2020,女性中位數年薪,425000
嘉義市,2021,女性中位數年薪,430000
嘉義市,2022,女性中位數年薪,443000
嘉義市,2023,女性中位數年薪,458000
