職業類別,產業,1年以下,1~3年,3~5年,5~7年,7年以上,主職業類別,細職業名稱
零組件工程師,醫療照護╱環境衛生,30000,33000,36000,39000,42000,光電IC_電子通訊,零組件工程師
零組件工程師,一般服務業,37000,40700,44400,48100,51800,光電IC_電子通訊,零組件工程師
零組件工程師,教育╱出版╱藝文相關,26000,28600,31200,33800,36400,光電IC_電子通訊,零組件工程師
零組件工程師,批發╱零售,30000,33000,36000,39000,42000,光電IC_電子通訊,零組件工程師
電信／通訊系統工程師,農林漁牧╱水電資源,327500,360300,393000,425800,458500,光電IC_電子通訊,電信／通訊系統工程師
電信／通訊系統工程師,運輸物流╱倉儲╱貿易,56000,61600,67200,72800,78400,光電IC_電子通訊,電信／通訊系統工程師
電信／通訊系統工程師,建築營造╱不動產相關,36000,39600,43200,46800,50400,光電IC_電子通訊,電信／通訊系統工程師
電信／通訊系統工程師,旅遊╱休閒╱運動,30000,33000,36000,39000,42000,光電IC_電子通訊,電信／通訊系統工程師
電信／通訊系統工程師,大眾傳播相關,45000,49500,54000,58500,63000,光電IC_電子通訊,電信／通訊系統工程師
電信／通訊系統工程師,教育╱出版╱藝文相關,45000,49500,54000,58500,63000,光電IC_電子通訊,電信／通訊系統工程師
電信／通訊系統工程師,批發╱零售,32000,35200,38400,41600,44800,光電IC_電子通訊,電信／通訊系統工程師
電信／通訊系統工程師,電子科技╱資訊╱軟體╱半導體,36000,39600,43200,46800,50400,光電IC_電子通訊,電信／通訊系統工程師
電信／通訊系統工程師,一般傳統製造,33000,36300,39600,42900,46200,光電IC_電子通訊,電信／通訊系統工程師
電信／通訊系統工程師,政治╱宗教╱社福,37000,40700,44400,48100,51800,光電IC_電子通訊,電信／通訊系統工程師
電子工程主管,電子科技╱資訊╱軟體╱半導體,67500,74300,81000,87800,94500,光電IC_電子通訊,電子工程主管
電子工程主管,一般傳統製造,60000,66000,72000,78000,84000,光電IC_電子通訊,電子工程主管
電子工程主管,建築營造╱不動產相關,37000,40700,44400,48100,51800,光電IC_電子通訊,電子工程主管
電子工程主管,一般服務業,40000,44000,48000,52000,56000,光電IC_電子通訊,電子工程主管
電子工程主管,批發╱零售,55000,60500,66000,71500,77000,光電IC_電子通訊,電子工程主管
電子工程師,醫療照護╱環境衛生,56000,61600,67200,72800,78400,光電IC_電子通訊,電子工程師
電子工程師,批發╱零售,36400,40100,43700,47400,51000,光電IC_電子通訊,電子工程師
電子工程師,農林漁牧╱水電資源,40000,44000,48000,52000,56000,光電IC_電子通訊,電子工程師
電子工程師,一般服務業,32000,35200,38400,41600,44800,光電IC_電子通訊,電子工程師
電子工程師,運輸物流╱倉儲╱貿易,45000,49500,54000,58500,63000,光電IC_電子通訊,電子工程師
電子工程師,建築營造╱不動產相關,33000,36300,39600,42900,46200,光電IC_電子通訊,電子工程師
電子工程師,旅遊╱休閒╱運動,45000,49500,54000,58500,63000,光電IC_電子通訊,電子工程師
電子工程師,大眾傳播相關,38500,42400,46200,50100,53900,光電IC_電子通訊,電子工程師
