分類,職務名稱,月薪中位數 (元),職缺數,大類名稱
醫療專業人員,物理治療師,46000,377,醫療保健及社會工作服務業
醫療專業人員,臨床護理師,46000,1509,醫療保健及社會工作服務業
醫療專業人員,藥師,48000,786,醫療保健及社會工作服務業
醫療專業人員,護士,45000,2201,醫療保健及社會工作服務業
醫療技術輔助人員,其他醫療技術輔助人員,35000,181,醫療保健及社會工作服務業
醫療技術輔助人員,復健助理,35000,263,醫療保健及社會工作服務業
醫療技術輔助人員,照顧服務員,36000,3812,醫療保健及社會工作服務業
醫療技術輔助人員,牙醫助理,35000,759,醫療保健及社會工作服務業
醫療技術輔助人員,藥師助理,35000,297,醫療保健及社會工作服務業
醫療技術輔助人員,護理助理,36000,2204,醫療保健及社會工作服務業
醫療技術輔助人員,醫事放射師助理,35000,115,醫療保健及社會工作服務業
醫療護理人員,其他護理人員,45000,306,醫療保健及社會工作服務業
醫療護理人員,照顧服務員,29000,2778,醫療保健及社會工作服務業
醫療護理人員,護理人員,45000,6432,醫療保健及社會工作服務業
醫療護理人員,護理師,53000,25333,醫療保健及社會工作服務業
醫療護理人員,陪病人員,28000,602,醫療保健及社會工作服務業
醫療輔助人員,助產士,45000,234,醫療保健及社會工作服務業
醫療輔助人員,牙醫助理,33000,2524,醫療保健及社會工作服務業
醫療輔助人員,病歷管理員,41000,167,醫療保健及社會工作服務業
醫療輔助人員,看護／護佐,29000,1558,醫療保健及社會工作服務業
醫療輔助人員,診所助理,34000,1051,醫療保健及社會工作服務業
醫療輔助人員,醫療行政人員,40000,1347,醫療保健及社會工作服務業
醫療輔助人員,驗光師,37000,261,醫療保健及社會工作服務業
醫療／保健服務人員,其他醫療專業人員,46000,706,醫療保健及社會工作服務業
醫療／保健服務人員,助產士,50000,234,醫療保健及社會工作服務業
醫療／保健服務人員,呼吸治療師,52000,484,醫療保健及社會工作服務業
醫療／保健服務人員,放射師,63000,1415,醫療保健及社會工作服務業
醫療／保健服務人員,營養師,43000,1964,醫療保健及社會工作服務業
醫療／保健服務人員,物理治療師,51000,1127,醫療保健及社會工作服務業
醫療／保健服務人員,獸醫,62000,221,農、林、漁、牧業
醫療／保健服務人員,看護人員,29000,591,醫療保健及社會工作服務業
醫療／保健服務人員,職能治療師,50000,519,醫療保健及社會工作服務業
醫療／保健服務人員,臨床醫事檢驗師,63000,1252,醫療保健及社會工作服務業
醫療／保健服務人員,藥劑生,36000,455,醫療保健及社會工作服務業
醫療／保健服務人員,藥師,55000,3987,醫療保健及社會工作服務業
醫療／保健服務人員,語言治療師,46000,530,醫療保健及社會工作服務業
醫療／保健服務人員,醫檢助理,31000,252,醫療保健及社會工作服務業
醫療／保健服務人員,醫療助理,34000,3905,醫療保健及社會工作服務業
醫美／美容／保健服務人員,SPA芳療師,35000,160,其他服務業
醫美／美容／保健服務人員,健身教練,45000,1346,藝術、娛樂及休閒服務業
醫美／美容／保健服務人員,其他健康美容相關,40000,728,其他服務業
醫美／美容／保健服務人員,按摩師,37000,179,其他服務業
醫美／美容／保健服務人員,營養諮詢師,41000,208,醫療保健及社會工作服務業
醫美／美容／保健服務人員,瑜伽／舞蹈老師,42000,381,藝術、娛樂及休閒服務業
醫美／美容／保健服務人員,美容師,35000,472,其他服務業
醫美／美容／保健服務人員,美療師,36000,629,其他服務業
醫美／美容／保健服務人員,芳療師,36000,350,其他服務業
醫美／美容／保健服務人員,醫美／整形師,48000,145,醫療保健及社會工作服務業
醫藥製造相關人員,品保／品管工程師,52000,1336,製造業
醫藥製造相關人員,生技工程師,50000,538,製造業
醫藥製造相關人員,生產技術人員,47000,1382,製造業
醫藥製造相關人員,製劑人員,46000,364,製造業
醫藥製造相關人員,製程工程師,56000,2524,製造業
醫藥製造相關人員,製藥工程師,51000,540,製造業
醫藥製造相關人員,醫藥品包裝人員,38000,185,製造業
金融專業相關人員,不動產估價師,54000,184,不動產業
金融專業相關人員,保險主管,72000,101,金融及保險業
金融專業相關人員,保險業務／經紀人,51000,1881,金融及保險業
金融專業相關人員,催收人員,49000,160,支援服務業
金融專業相關人員,勞資後線人員,44000,560,支援服務業
金融專業相關人員,投信人員,50000,285,金融及保險業
金融專業相關人員,投資經理人,93000,247,金融及保險業
金融專業相關人員,核保／保險內勤人員,47000,863,金融及保險業
金融專業相關人員,理財專員,62000,2186,金融及保險業
金融專業相關人員,理賠人員,46000,404,金融及保險業
金融專業相關人員,統計精算人員,69000,322,金融及保險業
金融專業相關人員,融資／信用業務人員,60000,1509,金融及保險業
金融專業相關人員,證券業務員,50000,222,金融及保險業
金融專業相關人員,金融主管,93000,491,金融及保險業
金融專業相關人員,金融交易員,61000,505,金融及保險業
金融專業相關人員,金融承銷員,52000,155,金融及保險業
金融專業相關人員,金融業務員,51000,1561,金融及保險業
金融專業相關人員,金融研究員,65000,899,金融及保險業
金融專業相關人員,銀行辦事員,47000,1874,金融及保險業
金融專業相關人員,風險管理人員,67000,304,金融及保險業
門市營業類人員,儲備／幹部人員,36000,12260,批發及零售業
門市營業類人員,店長／賣場管理人員,44000,16099,批發及零售業
門市營業類人員,營化人員,44000,263,批發及零售業
門市營業類人員,連鎖店管理人員,51000,7295,批發及零售業
門市營業類人員,門市／店員／專櫃人員,40000,59248,批發及零售業
飯店／旅館／餐廳管理人員,中央廚房主管,54000,284,住宿及餐飲業
飯店／旅館／餐廳管理人員,中央廚房管理人員,46000,285,住宿及餐飲業
飯店／旅館／餐廳管理人員,其他飯店餐廳管理人員,47000,317,住宿及餐飲業
飯店／旅館／餐廳管理人員,餐廳／飯店主管,51000,2160,住宿及餐飲業
飯店／旅館／餐廳管理人員,餐飲主任／領班,43000,739,住宿及餐飲業
餐飲服務人員,中餐廚師,43000,3627,住宿及餐飲業
餐飲服務人員,內場廚務人員,33000,13055,住宿及餐飲業
餐飲服務人員,其他餐飲服務人員,35000,1093,住宿及餐飲業
餐飲服務人員,外場服務人員,32000,22808,住宿及餐飲業
餐飲服務人員,外送人員,34000,2967,運輸及倉儲業
餐飲服務人員,廚師,42000,7684,餐飲業
餐飲服務人員,日式料理廚師,41000,1082,住宿及餐飲業
餐飲服務人員,洗碗清潔人員,32000,1233,住宿及餐飲業
餐飲服務人員,西餐廚師,42000,1523,住宿及餐飲業
餐飲服務人員,西點烘焙師傅,41000,1313,住宿及餐飲業
餐飲服務人員,飲料調製人員,33000,7785,住宿及餐飲業
體育／美容美髮／餐旅服務人員,健身教練,37000,630,藝術、娛樂及休閒服務業
體育／美容美髮／餐旅服務人員,其他服務人員,34000,163,其他服務業
體育／美容美髮／餐旅服務人員,廚務助理,33000,1855,住宿及餐飲業
體育／美容美髮／餐旅服務人員,洗碗人員,32000,1030,住宿及餐飲業
體育／美容美髮／餐旅服務人員,美容師,34000,1492,其他服務業
體育／美容美髮／餐旅服務人員,美甲師,34000,788,其他服務業
體育／美容美髮／餐旅服務人員,美髮師,35000,1244,其他服務業
體育／美容美髮／餐旅服務人員,芳療／紓壓師,34000,1006,其他服務業
